rank,name,handle,channel_id,channel_url,uploads_playlist,country_or_region,primary_niche,tags,isabella_priority,isabella_match_reason,summary_es,summary_en,tone,speech_speed,subtitle_reliability,shorts_volume_score,recent_shorts_sample_count,recent_2026_shorts_sample_count,captioned_sample_count,recent_shorts_median_views,recent_shorts_top_view_count,subscriber_count,total_video_count,adult_risk,review_confidence,approval_source,quality_notes,evidence_urls
33,PNK Wow!,@pnkwow,UCpaKIVaK-gLSJf6_-hSLNIA,https://www.youtube.com/@pnkwow,UUpaKIVaK-gLSJf6_-hSLNIA,CO,lifestyle,lifestyle|beauty|makeup|comedy|humor|workplace|storytime|entertainment|spanish|shorts,true,Engaging workplace comedy and makeup content featuring native Spanish speakers.,Canal de una tienda de maquillaje que combina novedades de belleza con divertidos sketches y situaciones cómicas entre las empleadas.,Makeup store channel that combines beauty news with funny sketches and comedic situations among the employees.,humorous,fast,medium,5,49,49,0,710440,42201779,788000,244,low,high,strict_review,Original workplace comedy and beauty content with native speakers.,https://www.youtube.com/shorts/-XXxQpNtLLg|https://www.youtube.com/shorts/-jWGlJPiGJ0|https://www.youtube.com/shorts/BjNOs9Otmv0|https://www.youtube.com/shorts/LmLQ_yMaByY|https://www.youtube.com/shorts/SMbsLgzSLIo
34,Kari Receta,@karireceta,UCP-BSEjlV-EQ9vl2DFLuHUg,https://www.youtube.com/@karireceta,UUP-BSEjlV-EQ9vl2DFLuHUg,US,making_from_scratch,making_from_scratch|food|cooking|recipes|mexican_food|lifestyle|home|family|spanish|shorts,true,"Authentic, high-quality home cooking and recipe tutorials by a native Spanish speaker.","Canal de cocina casera donde Karina comparte recetas deliciosas y fáciles de preparar, con un enfoque en la comida mexicana y latina.","Home cooking channel where Karina shares delicious and easy-to-make recipes, focusing on Mexican and Latin food.",warm,medium,medium,5,49,44,0,531457,4694937,296000,107,low,high,strict_review,"High-quality, authentic cooking content with clear instructions.",https://www.youtube.com/shorts/iV8AnA7kK34|https://www.youtube.com/shorts/OKX2o8b-6Pg|https://www.youtube.com/shorts/wmkUmPgg_Ic|https://www.youtube.com/shorts/cQku01QRvY0|https://www.youtube.com/shorts/7AHyTy3I2yc
35,Waldir Maqque,@waldir.maqque,UCk0_yfWVpKryN6Aue8ccQfg,https://www.youtube.com/@waldir.maqque,UUk0_yfWVpKryN6Aue8ccQfg,PE,making_from_scratch,making_from_scratch|food|cooking|culture|peru|traditional|outdoor_cooking|lifestyle|spanish|shorts,true,Unique and authentic outdoor cooking content showcasing traditional ingredients and methods.,"Creador peruano que comparte su pasión por la cocina tradicional y al aire libre, preparando platillos auténticos con ingredientes locales.","Peruvian creator sharing his passion for traditional and outdoor cooking, preparing authentic dishes with local ingredients.",authentic,medium,medium,4,36,11,0,1169191,17031417,712000,287,low,high,strict_review,Excellent cultural and culinary content with high production value and authenticity.,https://www.youtube.com/shorts/pZyIzVWLe64|https://www.youtube.com/shorts/I_64-zU7dnU|https://www.youtube.com/shorts/k7jSZbbj04g|https://www.youtube.com/shorts/rMTThynyj_Y|https://www.youtube.com/shorts/yUKAettXqlY
36,Pau Bolzan,@bolzanpaula,UCWhjj5edTtikTDkjweU5vrQ,https://www.youtube.com/@bolzanpaula,UUWhjj5edTtikTDkjweU5vrQ,AR,making_from_scratch,making_from_scratch|diy|crafts|art|lifestyle|argentina|spanish|shorts|creativity,true,"Channel focuses on DIY, crafts, and making things from scratch.","Canal de manualidades, arte y estilo de vida donde la creadora comparte sus proyectos creativos y diarios.",Arts and crafts channel where the creator shares her DIY projects and daily creative lifestyle.,"creative, enthusiastic, friendly",medium,medium,2,20,20,0,1834757,16433500,9020000,792,low,high,strict_review,High-quality original DIY and craft content.,https://www.youtube.com/shorts/m8qLDt8wzts|https://www.youtube.com/shorts/zRF0_2k242U|https://www.youtube.com/shorts/b9FciGM2EGw|https://www.youtube.com/shorts/ZMM3SPSkFAE|https://www.youtube.com/shorts/8TXtcmOoV7A
37,Tonyfrancog,@tonyfrancog,UCkAsJNGzeto3kmjNhwYeo_A,https://www.youtube.com/@tonyfrancog,UUkAsJNGzeto3kmjNhwYeo_A,MX,commentary,commentary|explainers|pop_culture|movies|curiosities|science|education|spanish|shorts,true,Engaging commentary and explainer content about pop culture and curiosities.,"Canal de curiosidades y explicaciones sobre cultura pop, películas y datos interesantes.","Curiosities and explainer channel focusing on pop culture, movies, and interesting facts.","informative, engaging, curious",fast,medium,5,50,50,0,288501,9955747,4290000,1250,low,high,strict_review,Well-edited explainer videos with clear narration.,https://www.youtube.com/shorts/z7eYD_vyTNI|https://www.youtube.com/shorts/JsuZsW3ejU0|https://www.youtube.com/shorts/w2etlCD0xQg|https://www.youtube.com/shorts/yGDSdy5D5T4|https://www.youtube.com/shorts/NfY8QhApQp4
38,Atilio Larin,@atiliolarin,UC2RLcCG-zX5AQvfY6Fwzmcg,https://www.youtube.com/@atiliolarin,UU2RLcCG-zX5AQvfY6Fwzmcg,SV,comedy,comedy|skits|humor|entertainment|lifestyle|spanish|shorts|funny|relatable,false,,Canal de comedia que presenta sketches cortos y situaciones divertidas de la vida cotidiana.,Comedy channel featuring short skits and funny relatable everyday situations.,"humorous, energetic, exaggerated",fast,medium,4,33,33,0,1382647,20254779,6690000,893,medium,high,strict_review,"Popular comedy skits, good for learning colloquial expressions.",https://www.youtube.com/shorts/_GzokiYU7ZI|https://www.youtube.com/shorts/tCpvM6hW4bs|https://www.youtube.com/shorts/Sofu0qX8U-Q|https://www.youtube.com/shorts/7tswGxIzu1M|https://www.youtube.com/shorts/E4QRZEil3_A
39,Jason Thores,@jasonthores,UCvqTjofOw6-2tJ3gpp0u9wA,https://www.youtube.com/@jasonthores,UUvqTjofOw6-2tJ3gpp0u9wA,MX,commentary,commentary|mystery|theories|explainers|storytime|creepy|spanish|shorts|entertainment,true,Strong commentary and storytime content focusing on mysteries and theories.,"Canal de misterio y teorías que explora datos curiosos, historias espeluznantes y enigmas.","Mystery and theories channel exploring curious facts, creepy stories, and enigmas.","mysterious, suspenseful, engaging",medium,medium,3,29,29,0,58749,231603,5950000,1709,medium,high,strict_review,Engaging storytelling with good production value.,https://www.youtube.com/shorts/uA42-X_lutg|https://www.youtube.com/shorts/vJMRGnnH0l4|https://www.youtube.com/shorts/5v2V15AuNmE|https://www.youtube.com/shorts/pPhrJxEWlZI|https://www.youtube.com/shorts/rzYYrD7NOuU
40,Davisuuarez2,@davisuuarez,UCh14bht4isvHoO2paCbLE0w,https://www.youtube.com/@davisuuarez,UUh14bht4isvHoO2paCbLE0w,ES,sports,sports|football|soccer|comedy|commentary|world_cup|spanish|shorts|entertainment,false,,Canal centrado en el fútbol que combina comentarios deportivos con humor y retos.,Football-centric channel combining sports commentary with humor and challenges.,"energetic, humorous, passionate",fast,medium,4,31,31,0,289022,5630366,1540000,1791,low,high,strict_review,"Good for sports fans, mixes gameplay/commentary with real-life football talk.",https://www.youtube.com/shorts/JtItnV9_I8I|https://www.youtube.com/shorts/5EzsKAS5ZgQ|https://www.youtube.com/shorts/QtcNNGqNMvE|https://www.youtube.com/shorts/wkyHo1h4NYo|https://www.youtube.com/shorts/5snt6hwOzR0
41,Jen y Miguel ,@jenymiguel,UCFf1pA7jn0B1VdkZU56aw6Q,https://www.youtube.com/@jenymiguel,UUFf1pA7jn0B1VdkZU56aw6Q,MX,lifestyle,lifestyle|comedy|challenges|vlogs|couples|entertainment|spanish|shorts|relatable,true,"Lifestyle channel featuring couple vlogs, challenges, and relatable daily content.","Canal de estilo de vida de una pareja que comparte bromas, retos, vlogs y tendencias divertidas.","Couple's lifestyle channel sharing pranks, challenges, vlogs, and fun trends.","playful, romantic, energetic",fast,medium,5,50,50,0,337923,5069603,2320000,1239,medium,high,strict_review,"High-energy couple content, good for conversational Spanish.",https://www.youtube.com/shorts/ru7YVPsnyVI|https://www.youtube.com/shorts/CBicWoVZ_xI|https://www.youtube.com/shorts/nIjw74NPF7w|https://www.youtube.com/shorts/SCQ0VtfJhTM|https://www.youtube.com/shorts/3wDd3OjLoZ0
42,Andrea Escorcia ,@andreaescorciaa,UCnugH_1MOnrTh3z7a5fqspw,https://www.youtube.com/@andreaescorciaa,UUnugH_1MOnrTh3z7a5fqspw,unknown,beauty,beauty|makeup|lifestyle|tutorials|cosmetics|vlogs|spanish|shorts|fashion,true,High-quality lifestyle and beauty content with makeup tutorials and vlogs.,"Canal de belleza y estilo de vida enfocado en tutoriales de maquillaje, reseñas de productos y vlogs personales.","Beauty and lifestyle channel focused on makeup tutorials, product reviews, and personal vlogs.","friendly, aesthetic, informative",medium,medium,4,37,37,0,313955,4991592,405000,188,low,high,strict_review,"Aesthetic and clear beauty content, excellent for vocabulary related to cosmetics and daily routines.",https://www.youtube.com/shorts/xfIGyZ9vkRs|https://www.youtube.com/shorts/TMDMN6iCKGw|https://www.youtube.com/shorts/7PV_DOWVnCo|https://www.youtube.com/shorts/QE0shNUvMaY|https://www.youtube.com/shorts/YwkhAaphjqc
43,5 grados__bajo__0,@5grados__bajo__0,UCgYdXte2i3j6TqdaEl0rABw,https://www.youtube.com/@5grados__bajo__0,UUgYdXte2i3j6TqdaEl0rABw,unknown,comedy,comedy|lifestyle|skits|humor|entertainment|spanish|funny|relatable,false,,Canal de comedia y sketches de humor sano sobre situaciones cotidianas.,Comedy channel featuring clean humor and skits about everyday relatable situations.,humorous,fast,medium,5,50,50,0,34704,1363961,82800,557,low,high,strict_review,"Good native Spanish comedy content, useful for learning everyday slang and expressions.",https://www.youtube.com/shorts/PXWBtKFxYPE|https://www.youtube.com/shorts/--lv-l6NXN8|https://www.youtube.com/shorts/O6Eqr0YtTgI|https://www.youtube.com/shorts/kdQ3eYXe9mE|https://www.youtube.com/shorts/h3v13HKmF5E
44,ChuuyMine,@chuuymine,UCrPWiqy4AmzFruDvWONex6w,https://www.youtube.com/@chuuymine,UUrPWiqy4AmzFruDvWONex6w,MX,gaming,gaming|vtuber|commentary|entertainment|spanish|humor|gameplay|reactions,false,,"Canal de un VTuber que sube contenido de videojuegos, reacciones y humor.","VTuber channel featuring gaming content, reactions, and humor.",energetic,fast,low,2,16,16,0,2326426,6123295,23600000,1009,medium,high,strict_review,"High energy VTuber gaming content, good for learners interested in gaming vocabulary and internet culture.",https://www.youtube.com/shorts/nRrqoDeO2GA|https://www.youtube.com/shorts/95BRG0-CdDY|https://www.youtube.com/shorts/74B3AJfd3Nc|https://www.youtube.com/shorts/wrzhvw7-cS4|https://www.youtube.com/shorts/7wq4gCWbLZs
45,Tatiana Kaer,@tatianakaershort,UCVYnla-5dK5GMANkpiFUZow,https://www.youtube.com/@tatianakaershort,UUVYnla-5dK5GMANkpiFUZow,ES,lifestyle,lifestyle|storytime|vlog|commentary|daily_life|spanish|entertainment|humor,true,Fits the lifestyle and storytime/commentary criteria perfectly.,Canal de estilo de vida y storytimes donde la creadora comparte anécdotas personales y vlogs.,Lifestyle and storytime channel where the creator shares personal anecdotes and vlogs.,casual,fast,medium,4,35,17,0,382135,3656571,610000,669,low,high,strict_review,"Excellent native Spanish storytime and lifestyle content, highly engaging for adult learners.",https://www.youtube.com/shorts/d_L2fPN7Ifw|https://www.youtube.com/shorts/N9--i7knhaY|https://www.youtube.com/shorts/v6FCc-6MCxE|https://www.youtube.com/shorts/0rOJS0wbUJc|https://www.youtube.com/shorts/N265McLdyF8
46,Isa Grwm,@grwm._isaaa,UC4FcQ3aH1EmA1NsKg-GY4Aw,https://www.youtube.com/@grwm._isaaa,UU4FcQ3aH1EmA1NsKg-GY4Aw,MX,beauty,beauty|makeup|grwm|lifestyle|vlog|spanish|fashion|daily_routine,true,Fits the lifestyle and beauty/GRWM criteria perfectly.,Canal de belleza y estilo de vida centrado en rutinas de maquillaje (GRWM) y vlogs diarios.,Beauty and lifestyle channel focused on Get Ready With Me (GRWM) makeup routines and daily vlogs.,friendly,medium,medium,3,23,23,0,124507,977154,1010000,1145,low,high,strict_review,"Great beauty and lifestyle content with clear, conversational Spanish.",https://www.youtube.com/shorts/NlrWsrDthTc|https://www.youtube.com/shorts/SvfSXuIwoIo|https://www.youtube.com/shorts/Vn4avrCi1hg|https://www.youtube.com/shorts/PTuRxV2a33I|https://www.youtube.com/shorts/4B9QhoONTxQ
47,Celeste Herrera,@soycelestedraw,UCpJlGUxgV9UtwijnGkcbhig,https://www.youtube.com/@soycelestedraw,UUpJlGUxgV9UtwijnGkcbhig,MX,making_from_scratch,art|drawing|diy|crafts|making_from_scratch|miniatures|spanish|creativity,true,Fits the making-from-scratch/DIY/crafts criteria perfectly.,Canal de arte y manualidades donde la creadora mexicana hace dibujos y objetos en miniatura.,Art and crafts channel where the Mexican creator makes drawings and miniature objects.,creative,medium,medium,4,32,32,0,131079,1816468,1180000,1640,low,high,strict_review,"High-quality art and DIY content with clear, engaging Spanish narration.",https://www.youtube.com/shorts/gQoGnJS_0So|https://www.youtube.com/shorts/mjZJFPQtRJk|https://www.youtube.com/shorts/CBL0MokZAH8|https://www.youtube.com/shorts/iFbgaN2hQ68|https://www.youtube.com/shorts/lcbSxje5diU
48,PeliDatos,@pelidatos,UClcAj_9usOBCtPf99sfcREw,https://www.youtube.com/@pelidatos,UUlcAj_9usOBCtPf99sfcREw,unknown,commentary,commentary|pop_culture|movies|entertainment|spanish|shorts|facts|marvel,true,"Commentary channel focusing on pop culture and movie facts, highly engaging for adult learners.","Canal de comentarios y curiosidades sobre películas y cultura pop, especialmente del universo Marvel.","Commentary and trivia channel about movies and pop culture, especially the Marvel universe.","informative, entertaining",fast,medium,5,50,50,0,1073416,6442973,3090000,731,low,high,strict_review,"High view counts, consistent movie trivia content.",https://www.youtube.com/shorts/hcaNhhBz5Yc|https://www.youtube.com/shorts/PTQFw1AQj-o|https://www.youtube.com/shorts/MD6e_TimVp0|https://www.youtube.com/shorts/a_KHcTu-n6Q|https://www.youtube.com/shorts/FWRURyx_uzo
49,Khe! de Ketz,@khedeketz,UCBX7gP5Mxs__4S0SSEFvQAw,https://www.youtube.com/@khedeketz,UUBX7gP5Mxs__4S0SSEFvQAw,MX,commentary,commentary|pop_culture|sports|movies|entertainment|spanish|shorts|opinion,true,"Engaging commentary on pop culture, movies, and sports events.","Canal de comentarios sobre cultura pop, películas y eventos deportivos con un toque humorístico.","Commentary channel covering pop culture, movies, and sports events with a humorous touch.","humorous, engaging",fast,medium,5,49,49,0,616574,2828485,3060000,2701,low,high,strict_review,Popular commentary channel with engaging topics.,https://www.youtube.com/shorts/nYf5MqGLaA0|https://www.youtube.com/shorts/uAgLJYmi2WA|https://www.youtube.com/shorts/s0btP2mWl2M|https://www.youtube.com/shorts/UGBWYkKMWAU|https://www.youtube.com/shorts/tmueDASrpoQ
50,CELESTE AVENTURERA,@soycelesteaventurera,UCYK2xKBKNR43kEeOBZGBh8Q,https://www.youtube.com/@soycelesteaventurera,UUYK2xKBKNR43kEeOBZGBh8Q,unknown,lifestyle,lifestyle|entertainment|trends|commentary|spanish|shorts|vlog|opinion,true,Lifestyle and entertainment creator doing trends and casual commentary.,"Creadora de contenido de estilo de vida y entretenimiento que hace transiciones, tendencias y comentarios casuales.","Lifestyle and entertainment creator doing transitions, trends, and casual commentary.","casual, energetic",medium,medium,5,46,46,0,191140,6123877,6550000,472,low,high,strict_review,"High subscriber count, personal creator content.",https://www.youtube.com/shorts/CC0W57ATx9Y|https://www.youtube.com/shorts/okk2c7RlpCc|https://www.youtube.com/shorts/3c9v3a4l1MQ|https://www.youtube.com/shorts/jUONgOtDfP4|https://www.youtube.com/shorts/W3nLkbwD540
51,FAMILINK SHORTS,@familinkshorts,UCA5go-U5VSGWZG6mwKoOQyQ,https://www.youtube.com/@familinkshorts,UUA5go-U5VSGWZG6mwKoOQyQ,ES,comedy,comedy|skits|family|entertainment|spanish|shorts|humor|lifestyle,false,,Canal de comedia familiar con sketches y situaciones divertidas del día a día.,Family comedy channel featuring skits and funny everyday situations.,"humorous, lighthearted",medium,medium,5,50,50,0,211892,24086346,333000,255,low,high,strict_review,Family-oriented comedy skits.,https://www.youtube.com/shorts/eWsjlLKpI4o|https://www.youtube.com/shorts/-WjK9KFQgfU|https://www.youtube.com/shorts/LVmHflNfRKE|https://www.youtube.com/shorts/gYbmBYAVTpM|https://www.youtube.com/shorts/6NpUtIdNuHw
52,Mabell Rodríguez,@mabellrodriguez,UCnqnJCzgMLG-sUOY0cSRF4g,https://www.youtube.com/@mabellrodriguez,UUnqnJCzgMLG-sUOY0cSRF4g,US,beauty,beauty|lifestyle|makeup|skincare|tutorials|reviews|spanish|shorts|fashion,true,High-quality beauty and lifestyle creator providing reviews and tutorials.,"Creadora de contenido de belleza y estilo de vida que comparte reseñas de maquillaje, rutinas de cuidado de la piel y tutoriales.","Beauty and lifestyle content creator sharing makeup reviews, skincare routines, and tutorials.","informative, friendly",medium,medium,5,50,50,0,74184,3142207,1440000,2985,low,high,strict_review,"Excellent beauty and lifestyle content, very useful for learners interested in this niche.",https://www.youtube.com/shorts/W14VmyV6tnw|https://www.youtube.com/shorts/TJdwUCxm6eI|https://www.youtube.com/shorts/KPJ-ZQsAurI|https://www.youtube.com/shorts/67ibt7nCTpY|https://www.youtube.com/shorts/J5HqC6-8p_g
53,Rodriguh,@rodriguh,UCU9GnpDDi3koNNjdqKhd-gQ,https://www.youtube.com/@rodriguh,UUU9GnpDDi3koNNjdqKhd-gQ,AR,gaming,gaming|roblox|commentary|news|spanish|shorts|entertainment|videogames,false,,"Canal de noticias, curiosidades y comentarios sobre el videojuego Roblox.","News, trivia, and commentary channel about the video game Roblox.","energetic, enthusiastic",fast,medium,3,26,26,0,418403,2089046,1540000,907,low,medium,strict_review,"Gaming content focused on Roblox, might appeal to a younger demographic but good for gaming vocabulary.",https://www.youtube.com/shorts/NWcrRNZE8Kw|https://www.youtube.com/shorts/TRxTOz87HYQ|https://www.youtube.com/shorts/nRt7rTc3Kk8|https://www.youtube.com/shorts/AU7eBkn6GLQ|https://www.youtube.com/shorts/p_shB7DR72Q
54,Paola Ruiz,@paoruizb,UCDyqRunXLpjAn_zL-KCVuQA,https://www.youtube.com/@paoruizb,UUDyqRunXLpjAn_zL-KCVuQA,US,lifestyle,lifestyle|storytime|commentary|vlog|entertainment|spanish|shorts|opinion|trends,true,"Personal creator sharing storytimes, lifestyle content, and casual commentary.","Creadora de contenido que comparte anécdotas personales, estilo de vida, tendencias y comentarios.","Content creator sharing personal storytimes, lifestyle, trends, and commentary.","energetic, conversational",fast,medium,5,47,47,0,93844,18271950,2480000,923,low,high,strict_review,"High engagement, conversational Spanish perfect for learners.",https://www.youtube.com/shorts/1aThsTPILn0|https://www.youtube.com/shorts/T1xiuuB1VAs|https://www.youtube.com/shorts/8y6_LaaN9m4|https://www.youtube.com/shorts/y-o84n27NDg|https://www.youtube.com/shorts/I1loJOQpuoY
55,Elizabethvaluu,@elizabethvaluu,UCzuVhiQXtKcRGf5z3WurpLA,https://www.youtube.com/@elizabethvaluu,UUzuVhiQXtKcRGf5z3WurpLA,unknown,beauty,beauty|makeup|lifestyle|tutorials|tips|spanish|shorts|fashion|reviews,true,Beauty and lifestyle creator sharing makeup tutorials and tips.,"Canal de belleza y estilo de vida con tutoriales de maquillaje, trucos y recomendaciones de productos.","Beauty and lifestyle channel featuring makeup tutorials, tips, and product recommendations.","friendly, informative",medium,medium,4,31,31,0,175689,1763089,332000,435,low,high,strict_review,Great beauty content with clear spoken Spanish.,https://www.youtube.com/shorts/JL6ypGbaZC8|https://www.youtube.com/shorts/k29R-UC32Mc|https://www.youtube.com/shorts/St5n9wYZnwM|https://www.youtube.com/shorts/WlFH9tn8Y2o|https://www.youtube.com/shorts/d3Dzb-0OAc8
56,Mateo Fútbol,@mateofutboltv,UCEq1EsUIj-0WyR2EzxDuwmg,https://www.youtube.com/@mateofutboltv,UUEq1EsUIj-0WyR2EzxDuwmg,ES,sports,sports|football|soccer|commentary|news|spanish|shorts|opinion|analysis,true,"Sports commentary and news channel, great for learners interested in football.","Canal de noticias, análisis y comentarios sobre el mundo del fútbol y sus jugadores.","News, analysis, and commentary channel about the world of football and its players.","informative, passionate",fast,medium,5,45,45,0,67139,2605442,1340000,829,low,high,strict_review,Good sports commentary channel with relevant vocabulary.,https://www.youtube.com/shorts/ayDgO9ga_Rk|https://www.youtube.com/shorts/4mkt4Vpjuj8|https://www.youtube.com/shorts/_ohjVXCDKVo|https://www.youtube.com/shorts/50EsaD11b_o|https://www.youtube.com/shorts/hclJxdZpZhs
57,LarryArt,@larryart_,UCuM5esbCVcxxx_cAnKx9dxg,https://www.youtube.com/@larryart_,UUuM5esbCVcxxx_cAnKx9dxg,CO,making_from_scratch,making_from_scratch|diy|crafts|art|lifestyle|vlog|tutorial|creativity,true,"Channel focuses on DIY, crafts, and making things from scratch, which aligns perfectly with Isabella's interests.","Canal de un creador venezolano en Colombia que comparte tutoriales de arte, manualidades y proyectos DIY creativos.","Channel by a Venezuelan creator in Colombia sharing art tutorials, crafts, and creative DIY projects.",enthusiastic,medium,medium,3,29,29,0,62245,4539761,1800000,375,low,high,strict_review,"High-quality DIY and craft content with clear, native Spanish narration.",https://www.youtube.com/shorts/KN_vFrvvWIw|https://www.youtube.com/shorts/gnYaLeNRzGM|https://www.youtube.com/shorts/b9CaU2Tqay8|https://www.youtube.com/shorts/fLXjhMGCV6k|https://www.youtube.com/shorts/duO3s02p3Eo
58,Lau Dumé,@laudume,UCjIp6TVd8daZXt3-O_hqNgA,https://www.youtube.com/@laudume,UUjIp6TVd8daZXt3-O_hqNgA,unknown,lifestyle,tech_tips|lifestyle|diy|mobile_tricks|technology|vlog|entertainment|hacks,true,Features DIY projects and lifestyle hacks.,"Canal de estilo de vida que comparte trucos de tecnología para celulares, hacks útiles y algunos proyectos DIY.","Lifestyle channel sharing mobile tech tips, useful hacks, and some DIY projects.",helpful,medium,medium,5,45,21,0,28020,18476447,1840000,175,low,high,strict_review,Clear instructions and useful everyday vocabulary.,https://www.youtube.com/shorts/h3pGdeSjhaM|https://www.youtube.com/shorts/llgxCLoN5GA|https://www.youtube.com/shorts/lMzY3cz3Z1U|https://www.youtube.com/shorts/kuYrk6BJvk0|https://www.youtube.com/shorts/brEO4yLG5rY
59,Ricitos ,@ricitosaventurero,UCnPAArBZnjSnRQrPKW1NiTg,https://www.youtube.com/@ricitosaventurero,UUnPAArBZnjSnRQrPKW1NiTg,CO,lifestyle,lifestyle|farm_life|vlog|dance|cooking|nature|comedy|entertainment|culture,true,"Features cooking recipes, farm life, and lifestyle vlogs.","Vlogs sobre la vida en la finca, recetas de cocina, bailes, aventuras y humor.","Vlogs about farm life, cooking recipes, dances, adventures, and humor.",cheerful,medium,medium,5,41,41,0,91445,6467163,499000,150,low,high,strict_review,"Great cultural and lifestyle content with natural, conversational Spanish.",https://www.youtube.com/shorts/NhFj9IbJ8V8|https://www.youtube.com/shorts/PcxDqYEyh9k|https://www.youtube.com/shorts/AvqUR_AsoK8|https://www.youtube.com/shorts/i_nrokIFWCQ|https://www.youtube.com/shorts/AxLKY3Xix6M
60,Siiara_,@siiara,UCDgBjIATZul3LQKYvCD94ag,https://www.youtube.com/@siiara,UUDgBjIATZul3LQKYvCD94ag,unknown,lifestyle,lifestyle|comedy|pov|humor|beauty|makeup|relationships|daily_life,true,"Relatable lifestyle, beauty, and humor content from a young female creator.","Canal de estilo de vida y humor con sketches POV, anécdotas sobre relaciones y rutinas de maquillaje.","Lifestyle and comedy channel featuring POV sketches, relationship anecdotes, and makeup routines.","humorous, relatable, casual",fast,medium,5,45,45,0,121191,5249953,236000,178,medium,high,strict_review,"High-quality native Spanish content with natural, fast-paced speech and slang.",https://www.youtube.com/shorts/uAoYGl7jJaM|https://www.youtube.com/shorts/n1-ljVWP5os|https://www.youtube.com/shorts/jIqysHged2E|https://www.youtube.com/shorts/my5WOHV-B6c|https://www.youtube.com/shorts/0Jm5ZgeChUY
61,Emiliano Garcia TV,@emilianogarciatv,UC-V00iZyyoYMc3zUyUAB7Ew,https://www.youtube.com/@emilianogarciatv,UU-V00iZyyoYMc3zUyUAB7Ew,MX,commentary,commentary|news|culture|mexico|society|storytime|opinion|documentary,false,,"Canal de comentarios y noticias enfocado en la cultura mexicana, historias impactantes y temas sociales.","Commentary and news channel focused on Mexican culture, impactful stories, and social issues.","serious, informative, dramatic",medium,medium,5,50,50,0,69982,3222592,294000,1005,high,high,strict_review,"Good for learning about Mexican culture and society, though topics can be heavy and mature.",https://www.youtube.com/shorts/tVHAKz8BxCs|https://www.youtube.com/shorts/IBWIJXZi_rk|https://www.youtube.com/shorts/vjhggVXYuis|https://www.youtube.com/shorts/EOt6RZcDN3E|https://www.youtube.com/shorts/6nzKMXaoNJ0
62,El Abrahaham Clips,@elabrahahamclips,UCPPjGvg91bDk_JT6iERmiLg,https://www.youtube.com/@elabrahahamclips,UUPPjGvg91bDk_JT6iERmiLg,MX,comedy,gaming|twitch_clips|comedy|conversation|reaction|pop_culture|humor|streaming,false,,"Clips destacados de transmisiones de Twitch con reacciones, humor y conversaciones casuales.","Highlight clips from Twitch streams featuring reactions, humor, and casual conversations.","casual, humorous, energetic",fast,medium,5,50,50,0,85055,5746622,6100000,3463,medium,high,strict_review,"Excellent for learning authentic, conversational Spanish and internet slang.",https://www.youtube.com/shorts/u7mmgzsR2C4|https://www.youtube.com/shorts/3DiSPsJY5Hg|https://www.youtube.com/shorts/Vw8O7r_BnUw|https://www.youtube.com/shorts/TMBD0WQYsaE|https://www.youtube.com/shorts/q9BxXf5sT5Q
63,Rulas 47,@rulas47,UC_t0y7KjGMCpuw2FgedeUgQ,https://www.youtube.com/@rulas47,UU_t0y7KjGMCpuw2FgedeUgQ,ES,sports,sports|football|soccer|challenges|vlog|entertainment|comedy|spain,false,,"Retos de fútbol, vlogs en estadios y contenido de entretenimiento relacionado con el deporte.","Football challenges, stadium vlogs, and sports-related entertainment content.","energetic, fun, enthusiastic",fast,low,2,11,1,0,26349980,57541421,3200000,801,low,high,strict_review,Great for sports fans wanting to learn Spanish through engaging challenges and vlogs.,https://www.youtube.com/shorts/c4prX-0CkIU|https://www.youtube.com/shorts/t9GluF8mmEU|https://www.youtube.com/shorts/OgL5TzdOLQc|https://www.youtube.com/shorts/P4P7GY60Qn0|https://www.youtube.com/shorts/BvNr9VB69tU
64,EL DANY,@eldany.oficial.,UCnl8--gF27ejBldg4xv4yTw,https://www.youtube.com/@eldany.oficial.,UUnl8--gF27ejBldg4xv4yTw,unknown,comedy,comedy|humor|skits|entertainment|spanish|lifestyle|funny|viral,false,,Canal de comedia con sketches y videos de humor sobre situaciones cotidianas y familiares.,Comedy channel featuring skits and humorous videos about everyday and family situations.,humorous,fast,medium,4,40,40,0,61145,2612313,191000,288,medium,high,strict_review,"Skit comedy, likely contains slang and fast-paced conversational Spanish.",https://www.youtube.com/shorts/bycwYtdBcD0|https://www.youtube.com/shorts/Namwo88ZJx4|https://www.youtube.com/shorts/ga3kHUBWqmw|https://www.youtube.com/shorts/NtHEKU0Z7-g|https://www.youtube.com/shorts/Y9Qm4Bhebq4
